Question,Ground Truth,Chatbot Answer,Precision,Recall,F1 Score
รายได้จากการดำเนินงานรวมของปี 2567 เป็นจำนวนเท่าใด?,"172,373,403.00 พันบาท","รายได้จากการดำเนินงานรวมของปี 2567 เป็นจำนวน 172,373,403,000 บาท ครับ [Page 1].",0.6188821792602539,0.7192487120628357,0.6653013825416565
รายได้ดอกเบี้ยสุทธิในปี 2566 คือกี่พันบาท?,"124,682,422.00 พันบาท","รายได้ดอกเบี้ยสุทธิในปี 2566 คือ 124,682,422.00 พันบาทครับ [Page 5].",0.6919273138046265,0.89585942029953,0.7807970643043518
เปอร์เซ็นต์ของรายได้ค่าธรรมเนียมและบริการสุทธิในปี 2565 คือเท่าไร?,24.06%,เปอร์เซ็นต์ของรายได้ค่าธรรมเนียมและบริการสุทธิในปี 2565 คือ 24.06% ครับ [Page 1].,0.5104948282241821,0.7684932351112366,0.6134721636772156
รายได้จากต่างประเทศในปี 2565 มีจำนวนเท่าใด?,"929,470.00 พันบาท","รายได้จากต่างประเทศในปี 2565 มีจำนวน 929,470,000 บาท ครับ [Page 1].",0.6213542222976685,0.7372705340385437,0.6743674874305725
เปอร์เซ็นต์ของรายได้จากในประเทศในปี 2567 คือเท่าไร?,99.34%,เปอร์เซ็นต์ของรายได้จากในประเทศในปี 2567 คือ 99.34% ครับ [Page 5].,0.5422176122665405,0.7693871259689331,0.6361295580863953
การดำเนินโครงการในอนาคตไม่เป็นไปตามแผน?,การดำเนินโครงการในอนาคตมีความเสี่ยงสูงเพราะไม่เป็นไปตามแผน,"การดำเนินโครงการในอนาคตไม่เป็นไปตามแผน เป็นความเสี่ยงที่เกิดขึ้นจากหลายปัจจัย เช่น การวางแผนที่ไม่ดี การขาดทรัพยากรที่จำเป็น หรือการเปลี่ยนแปลงในสภาพแวดล้อมทางธุรกิจที่ไม่คาดคิด ซึ่งอาจส่งผลกระทบต่อความสามารถในการดำเนินโครงการให้สำเร็จตามกำหนดเวลาและงบประมาณที่วางไว้

การจัดการความเสี่ยงนี้จึงต้องมีมาตรการที่ชัดเจน เช่น การติดตามและประเมินผลการดำเนินงานอย่างสม่ำเสมอ การปรับแผนตามสถานการณ์ที่เปลี่ยนแปลง และการเตรียมความพร้อมในการรับมือกับปัญหาที่อาจเกิดขึ้น เพื่อให้โครงการสามารถดำเนินต่อไปได้อย่างมีประสิทธิภาพ [Page 5]. 

ครับ",0.6655778884887695,0.7979638576507568,0.7257833480834961
การดำเนินธุรกิจที่ยังไม่มีผลประกอบการในเชิงพาณิชย์คืออะไร?,ธุรกิจที่ยังไม่สามารถสร้างรายได้หรือกำไรจากการดำเนินงาน,การดำเนินธุรกิจที่ยังไม่มีผลประกอบการในเชิงพาณิชย์หมายถึงการที่ธุรกิจหรือโครงการนั้นยังไม่สามารถสร้างรายได้หรือผลกำไรได้ตามที่คาดหวัง ซึ่งอาจเกิดจากหลายปัจจัย เช่น การพัฒนาผลิตภัณฑ์ที่ยังไม่เสร็จสมบูรณ์ การขาดตลาดที่เหมาะสม หรือการขาดการสนับสนุนทางการเงินที่เพียงพอ ทำให้ธุรกิจไม่สามารถดำเนินการได้อย่างเต็มที่และยังไม่สามารถสร้างผลประกอบการที่เป็นบวกได้ครับ [Page 5].,0.6954408884048462,0.7980910539627075,0.7432384490966797
ความเสี่ยงด้านกฎระเบียบและกฎหมายมีอะไรบ้าง?,รวมถึงการเปลี่ยนแปลงกฎระเบียบและการละเมิดกฎหมาย,"ความเสี่ยงด้านกฎระเบียบและกฎหมาย (Compliance Risk) ประกอบด้วยหลายประเด็นที่สำคัญ ได้แก่:

1. **การเปลี่ยนแปลงกฎระเบียบและกฎหมายเกี่ยวกับการประกอบธุรกิจ** - ความเสี่ยงที่เกิดจากการที่กฎระเบียบหรือกฎหมายมีการปรับเปลี่ยน ซึ่งอาจส่งผลกระทบต่อการดำเนินงานของบริษัท

2. **กฎระเบียบและกฎหมายที่ไม่เอื้อต่อการประกอบธุรกิจ** - กฎระเบียบหรือกฎหมายที่อาจเป็นอุปสรรคต่อการดำเนินธุรกิจ เช่น ข้อกำหนดที่ซับซ้อนหรือมีค่าใช้จ่ายสูง

3. **การละเมิดกฎระเบียบและกฎหมายที่เกี่ยวข้อง** - ความเสี่ยงที่เกิดจากการที่บริษัทอาจไม่ปฏิบัติตามกฎระเบียบหรือกฎหมาย ซึ่งอาจนำไปสู่การถูกลงโทษหรือค่าปรับ

4. **การกำกับดูแลกิจการ** - ความเสี่ยงที่เกี่ยวข้องกับการไม่สามารถปฏิบัติตามหลักการกำกับดูแลกิจการที่ดี ซึ่งอาจส่งผลต่อความเชื่อมั่นของนักลงทุนและผู้มีส่วนได้ส่วนเสีย

การจัดการความเสี่ยงเหล่านี้จึงเป็นสิ่งสำคัญเพื่อให้บริษัทสามารถดำเนินธุรกิจได้อย่างมีประสิทธิภาพและยั่งยืน [Page 5] ครับ",0.6001375317573547,0.7483980655670166,0.666117787361145
ความเสี่ยงด้านการเงินที่สำคัญคืออะไร?,การไม่เพียงพอของเงินทุนและความผันผวนของอัตราแลกเปลี่ยน,"ความเสี่ยงด้านการเงินที่สำคัญประกอบด้วยหลายประเด็น ได้แก่:

1. **การไม่เพียงพอของเงินทุน**: บริษัทอาจประสบปัญหาในการจัดหาเงินทุนที่เพียงพอสำหรับการดำเนินงานหรือการลงทุนในอนาคต ซึ่งอาจส่งผลกระทบต่อการเติบโตและความสามารถในการแข่งขันของบริษัท

2. **การเปลี่ยนแปลงนโยบายด้านการเงินและการลงทุนของสถาบันการเงิน**: การเปลี่ยนแปลงในนโยบายของธนาคารหรือสถาบันการเงินอาจส่งผลกระทบต่อการเข้าถึงเงินทุนและต้นทุนการกู้ยืม

3. **การผิดนัดชำระหนี้หรือการแลกเปลี่ยนสินค้า**: หากบริษัทไม่สามารถชำระหนี้ได้ตามกำหนดหรือมีปัญหาในการแลกเปลี่ยนสินค้า อาจส่งผลให้เกิดความเสียหายทางการเงิน

4. **ความผันผวนของอัตราแลกเปลี่ยน, อัตราดอกเบี้ย, และอัตราเงินเฟ้อ**: ความไม่แน่นอนในตลาดการเงินอาจส่งผลกระทบต่อผลกำไรและค่าใช้จ่ายของบริษัท

5. **ความผันผวนของผลตอบแทนในสินทรัพย์หรือเงินลงทุน**: การลงทุนที่มีความเสี่ยงสูงอาจทำให้บริษัทประสบกับผลตอบแทนที่ไม่แน่นอน

การจัดการความเสี่ยงด้านการเงินจึงมีความสำคัญเพื่อให้บริษัทสามารถดำเนินงานได้อย่างมีประสิทธิภาพและยั่งยืนในระยะยาว [Page 1].",0.6471551060676575,0.8167076110839844,0.7221121191978455
มาตรการจัดการความเสี่ยงมีหรือไม่?,มีมาตรการจัดการความเสี่ยงที่กำหนดไว้ในเอกสาร,มีมาตรการจัดการความเสี่ยงครับ โดยบริษัทได้มีการระบุความเสี่ยงที่เกี่ยวข้องและมาตรการในการจัดการความเสี่ยงในหลายด้าน เช่น ความเสี่ยงด้านกลยุทธ์ การดำเนินงาน กฎระเบียบและกฎหมาย รวมถึงความเสี่ยงด้านการเงิน ซึ่งมีการจัดทำมาตรการเพื่อจัดการกับความเสี่ยงเหล่านี้อย่างเป็นระบบ [Page 1].,0.70331209897995,0.769196629524231,0.7347804307937622
